,brand,tv_type,resolution,resolution_type,x_resolution,y_resolution,screen_size,processor_core,processor_ram,processor_inbuilt_storage,num_speakers,speaker_output,hd,has_wifi,has_ethernet,is_smart,is_ultra_slim,viewing_angle,num_hdmi_ports,num_usb_ports,rating,price
602,samsung,qled,4K Resolution,4K Resolution,3840,2160,55.0,,,,4.0,70.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,4.0,2.0,81.0,202490.0
603,,,,,,,,,,,,,,,,,,,,,,
604,kodak,led,,missing,1366,768,32.0,,,,2.0,20.0,HD,1.0,0.0,1.0,,,3.0,2.0,43.0,9499.0
605,kodak,led,Full HD,missing,1920,1080,40.0,,0.5,4.0,2.0,30.0,Full HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,54.0,15499.0
606,kodak,led,,missing,1366,768,24.0,,,,2.0,20.0,HD,1.0,0.0,1.0,0.0,178.0,2.0,2.0,45.0,6999.0
607,qoox,led,,missing,1366,768,32.0,,1.5,8.0,2.0,12.0,HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,51.0,15999.0
608,blaupunkt,led,Full HD,missing,1920,1080,39.37,,0.5,4.0,2.0,40.0,Full HD,1.0,0.0,1.0,0.0,178.0,3.0,2.0,53.0,14999.0
609,acer,led,4K Resolution,4K Resolution,3840,2160,65.0,,2.0,16.0,2.0,30.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,74.0,47999.0
610,samsung,led,4K Resolution,4K Resolution,3840,2160,65.0,,,,,,Ultra HD,1.0,0.0,1.0,0.0,,,,53.0,75999.0
611,coocaa,led,Full HD,missing,1920,1080,43.0,,0.5,2.0,2.0,30.0,Full HD,1.0,1.0,1.0,0.0,178.0,2.0,1.0,50.0,15499.0
612,dacs,led,,missing,1366,768,32.0,,1.5,8.0,2.0,20.0,HD,1.0,1.0,1.0,,,3.0,2.0,50.0,13999.0
613,xiaomi,led,4K Resolution,4K Resolution,3840,2160,55.0,,,,2.0,10.0,Ultra HD,1.0,1.0,1.0,,,1.0,1.0,57.0,20999.0
614,xiaomi,led,4K Resolution,4K Resolution,3840,2160,65.0,,,,2.0,10.0,Ultra HD,1.0,1.0,1.0,,,1.0,1.0,59.0,29999.0
615,karbonn,led,Full HD,missing,1920,1080,40.0,,1.0,8.0,2.0,20.0,Full HD,1.0,1.0,1.0,,,2.0,2.0,50.0,14990.0
616,karbonn,led,Full HD,missing,1920,1080,43.0,,1.0,8.0,2.0,20.0,Full HD,1.0,1.0,1.0,,,2.0,2.0,51.0,16490.0
617,karbonn,led,,missing,1366,768,32.0,,1.5,8.0,2.0,20.0,HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,51.0,9940.0
618,samsung,qled,8K Resolution,8K Resolution,7680,4320,65.0,,,,,70.0,Ultra HD,1.0,1.0,1.0,,,4.0,3.0,86.0,364990.0
619,karbonn,led,4K Resolution,4K Resolution,3840,2160,55.0,,2.0,8.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,,,3.0,2.0,67.0,28490.0
620,samsung,led,4K Resolution,4K Resolution,3840,2160,65.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,,,3.0,1.0,68.0,71990.0
621,xelectron,led,,missing,1366,768,32.0,,,,2.0,20.0,HD,,,1.0,0.0,178.0,1.0,2.0,34.0,7289.0
622,xelectron,led,,missing,1366,768,24.0,,,,2.0,20.0,HD,,,1.0,0.0,178.0,1.0,2.0,29.0,5189.0
623,samsung,micro led,4K Resolution,4K Resolution,3840,2160,89.0,,,,,100.0,Ultra HD,1.0,0.0,1.0,,,6.0,3.0,74.0,7599999.0
624,motorola,led,Full HD,missing,1920,1080,43.0,,1.0,,2.0,20.0,Full HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,52.0,18999.0
625,samsung,qled,8K Resolution,8K Resolution,7680,4320,85.0,,,,,90.0,Ultra HD,1.0,1.0,1.0,,,4.0,3.0,90.0,1224990.0
626,samsung,led,4K Resolution,4K Resolution,3840,2160,75.0,,,,2.0,20.0,Ultra HD,1.0,0.0,1.0,0.0,178.0,3.0,1.0,74.0,157900.0
627,samsung,qled,4K Resolution,4K Resolution,3840,2160,75.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,,,3.0,2.0,71.0,284990.0
628,samsung,qled,4K Resolution,4K Resolution,3840,2160,65.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,,,3.0,2.0,75.0,131990.0
629,samsung,qled,4K Resolution,4K Resolution,3840,2160,85.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,,,3.0,2.0,78.0,544990.0
630,samsung,qled,4K Resolution,4K Resolution,3840,2160,55.0,,,,,60.0,Ultra HD,1.0,1.0,1.0,,,4.0,2.0,76.0,140990.0
631,samsung,qled,4K Resolution,4K Resolution,3840,2160,55.0,,,,,60.0,Ultra HD,1.0,1.0,1.0,,,4.0,2.0,77.0,159990.0
632,samsung,qled,4K Resolution,4K Resolution,3840,2160,65.0,,,,,60.0,Ultra HD,1.0,1.0,1.0,,,4.0,2.0,79.0,201990.0
633,samsung,qled,4K Resolution,4K Resolution,3840,2160,50.0,,,,,60.0,Ultra HD,1.0,1.0,1.0,,,4.0,2.0,76.0,137990.0
634,samsung,qled,4K Resolution,4K Resolution,3840,2160,65.0,,,,,60.0,Ultra HD,1.0,1.0,1.0,,,4.0,2.0,78.0,184990.0
635,xiaomi,led,,missing,1366,768,32.0,,1.5,8.0,2.0,10.0,HD,1.0,1.0,1.0,0.0,178.0,4.0,2.0,54.0,35999.0
636,tcl,qled,4K Resolution,4K Resolution,3840,2160,65.0,4.0,3.0,,2.0,30.0,Ultra HD,1.0,1.0,1.0,1.0,,4.0,1.0,75.0,81999.0
637,tcl,qled,4K Resolution,4K Resolution,3840,2160,55.0,4.0,3.0,,2.0,30.0,Ultra HD,1.0,1.0,1.0,1.0,,4.0,1.0,73.0,66999.0
638,tcl,qled,4K Resolution,4K Resolution,3840,2160,65.0,4.0,3.0,,2.0,50.0,Ultra HD,1.0,1.0,1.0,1.0,,4.0,1.0,77.0,99999.0
639,tcl,qled,4K Resolution,4K Resolution,3840,2160,75.0,4.0,3.0,,2.0,50.0,Ultra HD,1.0,1.0,1.0,1.0,,4.0,1.0,79.0,125999.0
640,tcl,qled,4K Resolution,4K Resolution,3840,2160,85.0,4.0,3.0,,2.0,50.0,Ultra HD,1.0,1.0,1.0,1.0,,4.0,1.0,79.0,174999.0
641,hisense,qled,Full HD,missing,1920,1080,32.0,,,,2.0,16.0,Full HD,0.0,1.0,1.0,0.0,178.0,2.0,3.0,49.0,35999.0
642,hisense,qled,Full HD,missing,1920,1080,40.0,,,,2.0,16.0,Full HD,0.0,1.0,1.0,0.0,178.0,2.0,3.0,51.0,44999.0
643,samsung,led,4K Resolution,4K Resolution,3840,2160,43.0,,,,2.0,20.0,Ultra HD,1.0,1.0,1.0,,,3.0,2.0,64.0,46990.0
644,dacs,led,4K Resolution,4K Resolution,3840,2160,55.0,,,,2.0,40.0,Ultra HD,1.0,1.0,1.0,,,3.0,2.0,60.0,39999.0
645,xiaomi,oled,4K Resolution,4K Resolution,3840,2160,86.0,,3.0,32.0,,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,4.0,2.0,84.0,178999.0
646,,,,,,,,,,,,,,,,,,,,,,
647,beethosol,led,,missing,1366,768,24.0,,,,2.0,16.0,HD,,,0.0,,,1.0,1.0,26.0,5449.0
648,candes,led,,missing,1366,768,23.62,,,,2.0,20.0,HD,1.0,0.0,1.0,0.0,178.0,2.0,2.0,44.0,6990.0
649,candy,qled,4K Resolution,4K Resolution,3840,2160,65.0,,3.0,32.0,2.0,30.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,4.0,2.0,78.0,69990.0
650,candy,qled,4K Resolution,4K Resolution,3840,2160,50.0,,2.0,32.0,2.0,30.0,Ultra HD,1.0,1.0,1.0,1.0,178.0,4.0,2.0,75.0,36990.0
651,candy,led,4K Resolution,4K Resolution,3840,2160,55.0,,2.0,32.0,2.0,30.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,4.0,2.0,73.0,33990.0
652,candy,led,4K Resolution,4K Resolution,3840,2160,50.0,,2.0,32.0,2.0,40.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,4.0,2.0,73.0,30990.0
653,candy,qled,4K Resolution,4K Resolution,3840,2160,55.0,,2.0,32.0,2.0,30.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,4.0,2.0,74.0,44490.0
654,candy,qled,4K Resolution,4K Resolution,3840,2160,65.0,,2.0,32.0,2.0,30.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,4.0,2.0,76.0,55590.0
655,thomson,led,4K Resolution,4K Resolution,3840,2160,65.0,,1.75,8.0,2.0,40.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,72.0,49999.0
656,candy,led,4K Resolution,4K Resolution,3840,2160,65.0,,2.0,32.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,4.0,2.0,75.0,49990.0
657,candy,led,4K Resolution,4K Resolution,3840,2160,43.0,,2.0,32.0,2.0,20.0,Ultra HD,1.0,1.0,1.0,0.0,178.0,4.0,2.0,71.0,25990.0
658,candy,led,Full HD,missing,1920,1080,43.0,,1.0,8.0,2.0,20.0,Full HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,55.0,18990.0
659,candy,led,,missing,1366,768,32.0,,1.0,8.0,2.0,20.0,HD,1.0,1.0,1.0,0.0,178.0,3.0,2.0,51.0,11490.0
660,tcl,qled,4K Resolution,4K Resolution,3840,2160,43.0,,,,,,Ultra HD,1.0,1.0,1.0,,,3.0,2.0,63.0,39999.0
661,sens,led,Full HD,missing,1920,1080,40.0,,,,2.0,20.0,Full HD,1.0,1.0,1.0,0.0,178.0,2.0,2.0,52.0,15999.0
662,itel,,4K Resolution,4K Resolution,3840,2160,50.0,,,,2.0,24.0,Ultra HD,1.0,0.0,1.0,,,2.0,2.0,51.0,28999.0
663,toshiba,led,4K Resolution,4K Resolution,3840,2160,100.0,,,,,,Ultra HD,1.0,0.0,1.0,1.0,,,,64.0,418099.0
